# Lepton 1 Charge, Lepton 2 Charge, Lepton 3 Charge, Lepton 4 Charge, Lepton 1 Type, Lepton 2 Type, Lepton 3 Type, Lepton 4 Type, Lepton 1 E, Lepton 2 E, Lepton 3 E, Lepton 4 E, Lepton 1 pt, Lepton 2 pt, Lepton 3 pt, Lepton 4 pt, Lepton 1 eta, Lepton 2 eta, Lepton 3 eta, Lepton 4 eta, Lepton 1 phi, Lepton 2 phi, Lepton 3 phi, Lepton 4 phi
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,3.679819531250000000e+04,3.638553125000000000e+04,9.430872070312500000e+03,9.709977539062500000e+03,2.901364453125000000e+04,2.703720703125000000e+04,9.262736328125000000e+03,8.260697265625000000e+03,-7.170697450637817383e-01,8.092998266220092773e-01,-1.899141669273376465e-01,-5.839079618453979492e-01,-8.974062204360961914e-01,2.193499088287353516e+00,-2.375531673431396484e+00,-2.401890516281127930e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.300000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,2.906964375000000000e+05,1.229349375000000000e+05,1.031137890625000000e+05,1.217279882812500000e+04,2.059220625000000000e+05,1.223400156250000000e+05,9.574441406250000000e+04,8.915416992187500000e+03,8.788372278213500977e-01,9.857878834009170532e-02,3.898745775222778320e-01,-8.307330012321472168e-01,-1.034765839576721191e+00,2.643859148025512695e+00,-6.332679986953735352e-01,1.350291848182678223e+00
-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.299180156250000000e+05,3.936917968750000000e+04,2.176381054687500000e+04,3.572264843750000000e+04,4.802994140625000000e+04,2.094372070312500000e+04,1.968276953125000000e+04,1.376308984375000000e+04,-1.652160286903381348e+00,-1.244570374488830566e+00,4.558875858783721924e-01,-1.607577681541442871e+00,-2.092178583145141602e+00,-7.111741304397583008e-01,-4.947079420089721680e-01,2.081869125366210938e+00
-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.638557656250000000e+05,6.814889843750000000e+04,1.571478750000000000e+05,4.442118750000000000e+04,1.063230546875000000e+05,5.310962109375000000e+04,4.583892968750000000e+04,4.220776171875000000e+04,-9.983232021331787109e-01,7.358469963073730469e-01,1.903216838836669922e+00,-3.224566876888275146e-01,2.396850347518920898e+00,2.838765144348144531e+00,-1.894897460937500000e+00,-2.727102518081665039e+00
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,3.720388281250000000e+04,6.447417187500000000e+04,4.055219140625000000e+04,2.812776171875000000e+04,3.428598437500000000e+04,3.296578515625000000e+04,1.547693945312500000e+04,9.695592773437500000e+03,-4.096930325031280518e-01,1.291048884391784668e+00,-1.617799878120422363e+00,-1.727110266685485840e+00,9.822630286216735840e-01,-2.230695486068725586e+00,-6.220115423202514648e-01,2.614879131317138672e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.300000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.332410156250000000e+05,8.439696093750000000e+04,6.608764062500000000e+04,2.393421093750000000e+04,8.002059375000000000e+04,6.921476562500000000e+04,6.562613281250000000e+04,1.507835058593750000e+04,1.097424030303955078e+00,6.507971882820129395e-01,1.185254380106925964e-01,-1.036738872528076172e+00,2.222341775894165039e+00,-1.759134232997894287e-01,-1.548308253288269043e+00,2.852592468261718750e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,7.113699218750000000e+04,2.431085351562500000e+04,1.769716601562500000e+04,7.973219238281250000e+03,5.079362890625000000e+04,2.425154492187500000e+04,9.268038085937500000e+03,7.840288085937500000e+03,-8.675352334976196289e-01,-6.992229819297790527e-02,-1.263045787811279297e+00,-1.838868707418441772e-01,1.560086756944656372e-01,-1.564327836036682129e+00,-1.890222072601318359e+00,3.013271331787109375e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.228159687500000000e+05,3.039250390625000000e+04,8.375160156250000000e+03,1.688909570312500000e+04,3.289320703125000000e+04,2.892942382812500000e+04,8.332624023437500000e+03,7.349180175781250000e+03,1.992132544517517090e+00,3.166929781436920166e-01,1.002060100436210632e-01,1.474101662635803223e+00,-4.310580790042877197e-01,2.755100488662719727e+00,-2.443440675735473633e+00,7.202323675155639648e-01
1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.697775000000000000e+05,2.177255937500000000e+05,5.730921484375000000e+04,7.170208984375000000e+03,4.377289062500000000e+04,4.314362890625000000e+04,1.175206835937500000e+04,7.030378906250000000e+03,2.031572580337524414e+00,2.301883697509765625e+00,-2.266896724700927734e+00,-1.985638290643692017e-01,-1.025326251983642578e+00,2.284500598907470703e+00,8.313007950782775879e-01,-1.662261009216308594e+00
-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.502628281250000000e+05,7.310921093750000000e+04,2.710329101562500000e+04,1.968187304687500000e+04,6.041108984375000000e+04,5.179472265625000000e+04,2.580878125000000000e+04,1.358913671875000000e+04,-1.561256527900695801e+00,8.786733746528625488e-01,-3.154169619083404541e-01,-9.147208929061889648e-01,1.435240149497985840e+00,-1.744623064994812012e+00,-1.055596113204956055e+00,1.943670630455017090e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,7.235442968750000000e+04,5.552718359375000000e+04,1.949581835937500000e+04,1.225107910156250000e+04,7.165312500000000000e+04,3.361956640625000000e+04,1.948824218750000000e+04,1.139498046875000000e+04,1.397967040538787842e-01,-1.087256669998168945e+00,-2.788337133824825287e-02,3.852456510066986084e-01,-3.793148323893547058e-02,-5.994668006896972656e-01,-1.850851178169250488e-01,-1.574262827634811401e-01
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,7.824435937500000000e+04,7.521792968750000000e+04,1.689992187500000000e+04,1.681815429687500000e+04,4.757197265625000000e+04,4.542333984375000000e+04,1.599930078125000000e+04,1.588149804687500000e+04,1.082008838653564453e+00,1.090519905090332031e+00,3.339182734489440918e-01,3.417206704616546631e-01,-2.212206602096557617e+00,8.241659998893737793e-01,2.508410453796386719e+00,2.517767667770385742e+00
1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,3.649407031250000000e+04,2.787042773437500000e+04,1.942272460937500000e+04,1.152744921875000000e+04,3.574143359375000000e+04,2.688287109375000000e+04,1.790510351562500000e+04,1.145935351562500000e+04,-2.048416882753372192e-01,2.702051401138305664e-01,-4.088720083236694336e-01,-1.089633479714393616e-01,-1.179894566535949707e+00,2.219639062881469727e+00,2.518388986587524414e+00,1.979081392288208008e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.369652343750000000e+05,5.143972656250000000e+04,1.704984375000000000e+04,2.496174023437500000e+04,3.034125195312500000e+04,1.087482812500000000e+04,9.297063476562500000e+03,7.806248535156250000e+03,-2.187865257263183594e+00,-2.235739469528198242e+00,1.215233206748962402e+00,-1.830158948898315430e+00,-1.977418512105941772e-01,1.594879508018493652e+00,-2.566269636154174805e+00,2.276121526956558228e-01
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,9.170857812500000000e+04,1.670626953125000000e+04,1.186049707031250000e+04,1.293478613281250000e+04,7.299167187500000000e+04,1.298543847656250000e+04,8.965878906250000000e+03,7.453316406250000000e+03,-7.016537189483642578e-01,-7.400172352790832520e-01,-7.833679318428039551e-01,1.148568272590637207e+00,-4.111108779907226562e-01,2.123130559921264648e+00,2.576611995697021484e+00,-8.143092989921569824e-01
1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.300000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,6.941128125000000000e+04,1.110492031250000000e+05,7.519361718750000000e+04,3.471221093750000000e+04,4.904512109375000000e+04,3.804930859375000000e+04,3.570669140625000000e+04,3.441566406250000000e+04,-8.824111223220825195e-01,-1.733504533767700195e+00,-1.376030564308166504e+00,-1.311817169189453125e-01,-2.775974988937377930e+00,2.296739518642425537e-01,7.241392135620117188e-01,-1.724651694297790527e+00
